cellLine	Treatment	Replicate	Time	Confluency
PC3-F4	HBSS	2	8	1.086487586
PC3-F4	HBSS	2	9	1.135938136
PC3-F4	HBSS	2	10	1.112128612
PC3-F4	HBSS	2	11	1.135938136
PC3-F4	HBSS	2	12	1.172975173
PC3-F4	HBSS	2	13	1.15974766
PC3-F4	HBSS	2	14	1.220594221
PC3-F4	HBSS	2	15	1.185388685
PC3-F4	HBSS	2	16	1.185388685
PC3-F4	HBSS	2	17	1.222425722
PC3-F4	HBSS	2	18	1.222425722
PC3-F4	HBSS	2	19	1.222425722
PC3-F4	HBSS	2	20	1.222425722
PC3-F4	HBSS	2	21	1.222425722
PC3-F4	HBSS	2	22	1.246235246
PC3-F4	HBSS	2	23	1.27004477
PC3-F4	HBSS	2	24	1.246235246
PC3-F4	HBSS	2	25	1.27004477
PC3-F4	HBSS	2	26	1.308913309
PC3-F4	HBSS	2	27	1.246235246
PC3-F4	HBSS	2	28	1.246235246
PC3-F4	HBSS	2	29	1.295685796
PC3-F4	HBSS	2	30	1.332722833
PC3-F4	HBSS	2	31	1.308913309
PC3-F4	HBSS	2	32	1.295685796
PC3-F4	HBSS	2	33	1.271876272
PC3-F4	HBSS	2	34	1.271876272
PC3-F4	HBSS	2	35	1.295685796
PC3-F4	HBSS	2	36	1.332722833
PC3-F4	HBSS	2	37	1.332722833
PC3-F4	HBSS	2	38	1.295685796
PC3-F4	HBSS	2	39	1.295685796
PC3-F4	HBSS	2	40	1.332722833
PC3-F4	HBSS	2	41	1.295685796
PC3-F4	HBSS	2	42	1.295685796
PC3-F4	HBSS	2	43	1.295685796
PC3-F4	HBSS	2	44	1.332722833
PC3-F4	HBSS	2	45	1.295685796
PC3-F4	HBSS	2	46	1.295685796
PC3-F4	HBSS	2	47	1.356532357
PC3-F4	HBSS	3	0	1
PC3-F4	HBSS	3	1	1.019607843
PC3-F4	HBSS	3	2	1.027777778
PC3-F4	HBSS	3	3	1.095996732
PC3-F4	HBSS	3	4	1.087826797
PC3-F4	HBSS	3	5	1.089052288
PC3-F4	HBSS	3	6	1.137663399
PC3-F4	HBSS	3	7	1.095996732
PC3-F4	HBSS	3	8	1.089052288
PC3-F4	HBSS	3	9	1.136437908
