id	filename	md5	size	state
f229c886-9553-4322-928a-4196c211b7db	ac6fccd6-d05f-40c7-9afe-82fa33ce919a.htseq.counts.gz	8b9c081d056ed14afd388827b3aa5389	247685	live
c734a79c-3976-4153-a2b0-6b9cfd96e328	b9e40f63-6533-4259-8b54-05639aea4a2d.htseq.counts.gz	c28eecf9667bac7cdb56066b4216294d	251041	live
911551da-540a-4ba6-a6bd-4015d2b961e6	748316bc-c1df-4dbf-b365-defbc050e9f9.htseq.counts.gz	dfc79f8001f69daad8a9b40e2c0ad441	251184	live
c30d3ae3-3e83-482d-9793-f06e79f6279f	ab93cdd7-6d27-4321-a8f8-f111e7784532.htseq.counts.gz	bec6ecfd873d1c7ed46ae4b3afd2503c	250017	live
c2afc65f-be47-4b20-b4db-bb97dde6a9e3	9bc967f6-6bf6-482b-b585-4ce1e5e73f5b.htseq.counts.gz	6ef059ba5ba3335d2cb6ea33e236fbfc	253088	live
f2a22294-e969-4a26-b19e-1370f0947174	04098317-63b1-43eb-9b7f-e8e619e52781.htseq.counts.gz	f664259ba943c693661829683ca57e5d	258886	live
29d6550b-4244-4775-b12a-e99957458ed4	3c9ca45b-1437-47f5-9853-ec3d4ab5d0b3.htseq.counts.gz	32e79ad6d146302cb282552d2e76687b	251801	live
b9cb388a-5b9b-4b98-884e-a6794ab3388f	7d7fcb4a-62ca-4e45-93d0-271f4c299c98.htseq.counts.gz	c1731b22b3b9583ecce0d21b0618ec51	255823	live
dfd4dec3-9a62-46db-b23b-3b9bc3464508	0aa8097b-26b0-4b82-bfab-a5c52d39cf5e.htseq.counts.gz	a134beca97d6383e98aea96d6711deae	250499	live
f6d41271-bd2f-4e74-bbce-b4e45d2a7fd2	6d4c0d48-9f92-48cb-be27-a3f5d5173b42.htseq.counts.gz	b4ae41bcf233f6b4754d372aec5937ce	252372	live
